,Unnamed: 0,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,altitude,solrad,City,production prediction
0,0,37.14114,-2.780104,23.171153846153835,9.40521978021978,230.7,210.3,15.05,399.0,734.7833333333333,14.211538461538456,35.250549450549435,207.1657458563536,6946.9,1486.09,21.0,5.615388717961149," Abla, Almería, Andalucía, 04510, España",51.953026
1,1,37.13305,-2.797098,21.26043956043957,10.686263736263736,236.40000000000003,219.5,12.32,492.0,734.7833333333333,9.5934065934066,36.98296703296701,184.5580110497237,7014.89,1346.2,21.0,5.615388717961149," Abrucena, Almería, Andalucía, 04510, España",49.754868
2,2,37.2871,-2.181163,22.664010989011008,13.171703296703289,202.0,201.5,0.35,362.0,734.8,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1417.56,21.0,5.615388717961149," Albánchez, Valle del Almanzora, Almería, Andalucía, España",51.352688
3,3,37.03319,-2.62175,23.164010989011008,13.671703296703289,202.0,201.5,0.35,362.0,734.75,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1433.19,21.0,5.615388717961149,"Calle Sorianos, Alboloduy, Almería, Andalucía, España",40.354435
4,4,37.38979,-2.147483,22.588461538461534,12.621153846153852,264.8,263.3,1.0499999999999998,402.0,734.85,14.58104395604395,37.021978021978,162.10833333333332,6906.51,1394.05,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04800, España",33.525257
5,5,36.97449,-2.961038,22.808241758241767,12.233241758241771,236.40000000000003,219.5,12.32,492.0,734.75,9.5934065934066,36.98296703296701,184.5580110497237,7014.89,1390.5,21.0,5.615388717961149," Calle Jazmines, Alcolea, Almería, Andalucía, España",59.491283
6,6,37.33585,-2.596944,22.687362637362643,9.249725274725275,226.2,192.9,23.59,427.0,734.8333333333334,14.073626373626372,35.4884615384615,197.40495867768595,6972.42,1455.72,21.0,5.615388717961149," Alcóntar, Valle del Almanzora, Almería, Andalucía, España",46.646797
7,7,37.23598,-2.266174,21.67719780219781,9.225,261.9,217.4,31.430000000000003,466.0,734.8,13.79450549450548,37.07747252747252,191.53591160220995,6945.81,1387.4299999999998,21.0,5.615388717961149," Plaza Mayor, Alcudia de Monteagud, Almería, Andalucía, España",53.95141
8,8,36.9893,-2.587667,23.864010989011,14.371703296703304,202.0,201.5,0.35,362.0,734.7333333333333,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1457.1699999999998,21.0,5.615388717961149," Avenida Francisco Romero Jordán, Alhabia, Almería, Andalucía, España",27.750593
9,9,36.95742,-2.570075,22.313461538461542,12.820329670329674,202.0,201.5,0.35,362.0,734.7,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1405.04,21.0,5.615388717961149,"Alhama de Almería, Almería, Andalucía, 04400, España",36.89086
10,10,36.9663,-2.601994,23.06401098901096,13.571703296703296,202.0,201.5,0.35,362.0,734.75,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1429.53,21.0,5.615388717961149," Plaza de Alicún, Alicún, Almería, Andalucía, España",34.645077
11,11,36.84016,-2.467922,25.56401098901096,16.0717032967033,202.0,201.5,0.35,362.0,734.7,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1512.85,21.0,5.615388717961149," Almedina, Almería, Andalucía, 04071, España",33.448772
12,12,37.00236,-2.790071,21.4131868131868,11.307142857142855,211.0,198.3,8.89,431.0,734.7333333333333,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1363.01,21.0,5.615388717961149," Almócita, Almería, Andalucía, 04458, España",45.01023
13,13,37.002,-2.594579,23.713461538461555,14.220329670329672,202.0,201.5,0.35,362.0,734.75,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1452.19,21.0,5.615388717961149," Calle Real, Alsodux, Almería, Andalucía, España",32.991043
14,14,37.24516,-1.917543,23.54532967032967,15.682142857142855,203.7,203.6,0.07,335.0,734.8,17.98186813186813,38.89478021978022,129.26098901098902,6922.57,1442.21,21.0,5.615388717961149," Antas, Almería, Andalucía, 04628, España",26.993933
15,15,37.35025,-2.074867,23.540934065934056,13.573351648351633,264.8,263.3,1.0499999999999998,402.0,734.8333333333334,14.58104395604395,37.021978021978,162.10833333333332,6906.51,1425.25,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04660, España",24.786459
16,16,37.34969,-2.411396,22.713186813186805,12.607142857142858,211.0,198.3,8.89,431.0,734.8166666666667,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1402.58,21.0,5.615388717961149," Armuña de Almanzora, Valle del Almanzora, Almería, Andalucía, España",46.29763
17,17,37.26083,-2.454761,20.104945054945063,9.05164835164836,360.4,303.4,40.11,614.0,734.7833333333333,11.784340659340655,38.593956043956055,191.75070028011208,6955.56,1319.7,21.0,5.615388717961149," Bacares, Valle del Almanzora, Almería, Andalucía, España",31.390972
18,18,37.03116,-2.996469,19.86703296703297,8.702197802197807,321.2,297.0,17.64,602.0,734.75,8.576373626373623,35.25494505494504,215.6553672316384,7020.23,1298.09,21.0,5.615388717961149," Bayárcal, Almería, Andalucía, 18494, España",53.607132
19,19,37.33091,-2.43566,21.2543956043956,10.692032967032969,344.8,310.70000000000005,23.94,578.0,734.8166666666667,13.066483516483515,37.88956043956044,180.99166666666667,6936.52,1345.88,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04880, España",43.62821
20,20,37.18964,-1.981898,22.788461538461544,12.821153846153845,264.8,263.3,1.0499999999999998,402.0,734.7833333333333,14.58104395604395,37.021978021978,162.10833333333332,6906.51,1399.41,21.0,5.615388717961149," Calle Reina, Bédar, Almería, Andalucía, España",41.43918
21,21,37.012,-2.790928,21.560439560439548,10.986263736263735,236.40000000000003,219.5,12.32,492.0,734.75,9.5934065934066,36.98296703296701,184.5580110497237,7014.89,1354.92,21.0,5.615388717961149," Beires, Almería, Andalucía, 04458, España",47.698524
22,22,36.92587,-2.455683,25.01346153846152,15.520329670329668,202.0,201.5,0.35,362.0,734.7333333333333,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1494.96,21.0,5.615388717961149," Benahadux, Almería, Andalucía, 04410, España",31.867805
23,23,37.23124,-2.239107,20.50467032967032,9.935439560439558,344.8,310.70000000000005,23.94,578.0,734.7833333333333,13.066483516483515,37.88956043956044,180.99166666666667,6936.52,1322.2800000000002,21.0,5.615388717961149," Benitagla, Almería, Andalucía, 04859, España",36.999096
24,24,37.21175,-2.241685,20.506318681318675,9.942032967032963,344.8,310.70000000000005,23.94,578.0,734.7833333333333,13.066483516483515,37.88956043956044,180.99166666666667,6936.52,1322.4499999999998,21.0,5.615388717961149," Benizalón, Almería, Andalucía, 04279, España",60.798946
25,25,36.98652,-2.61942,23.66401098901101,14.171703296703289,202.0,201.5,0.35,362.0,734.7333333333333,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1449.0500000000002,21.0,5.615388717961149," Bentarique, Almería, Andalucía, 04430, España",39.966736
26,26,36.84644,-2.949425,25.46043956043956,14.886263736263732,236.40000000000003,219.5,12.32,492.0,734.7166666666667,9.5934065934066,36.98296703296701,184.5580110497237,7014.89,1463.47,21.0,5.615388717961149," Berja, Almería, Andalucía, 04760, España",42.896584
27,27,37.00973,-2.739681,22.86318681318681,12.754120879120874,211.0,198.3,8.89,431.0,734.7166666666667,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1406.4500000000005,21.0,5.615388717961149,"Canjáyar, Almería, Andalucía, 04458, España",53.12199
28,28,37.35259,-2.193626,22.84093406593408,12.873351648351646,264.8,263.3,1.0499999999999998,402.0,734.8166666666667,14.58104395604395,37.021978021978,162.10833333333332,6906.51,1401.4299999999998,21.0,5.615388717961149," Cantoria, Valle del Almanzora, Almería, Andalucía, España",43.645782
29,29,36.99659,-1.895012,24.19395604395603,16.336263736263742,203.7,203.6,0.07,335.0,734.75,17.98186813186813,38.89478021978022,129.26098901098902,6922.57,1465.51,21.0,5.615388717961149,"Carboneras, Almería, Andalucía, 04140, España",34.16723
30,30,37.18464,-2.439524,22.787362637362623,9.34478021978022,226.2,192.9,23.59,427.0,734.7666666666667,14.073626373626372,35.4884615384615,197.40495867768595,6972.42,1457.46,21.0,5.615388717961149," Castro de Filabres, Almería, Andalucía, 04212, España",66.508606
31,31,37.26633,-2.257897,21.554395604395616,10.992032967032962,344.8,310.70000000000005,23.94,578.0,734.8166666666667,13.066483516483515,37.88956043956044,180.99166666666667,6936.52,1354.85,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04859, España",46.809425
32,32,37.5956,-2.264839,21.033516483516483,8.732142857142856,264.4,222.0,29.89,468.0,734.9,14.161813186813191,36.98406593406595,191.3,6889.96,1360.14,21.0,5.615388717961149," Chirivel, Los Vélez, Almería, Andalucía, España",37.20548
33,33,37.26199,-2.210223,22.81016483516484,11.427472527472531,286.9,263.3,16.52,459.0,734.7833333333333,15.169505494505495,35.227747252747285,192.1030640668524,6834.15,1394.13,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04859, España",46.9409
