Title,Red Eléctrica Index (IRE) - INDUSTRY - CUMULATIVE TOTAL - YEAR_01-01-2017_31-12-2018,,,,,,,,,,,,,,,,,,,,,,,
Electricity system,Peninsular,,,,,,,,,,,,,,,,,,,,,,,
Magnitude,% | Índice (2010=100),,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018
Industry index,"120,762","118,213","122,897","122,724","124,884","125,843","126,155","125,387","125,869","126,592","126,807","125,551","123,073","120,145","122,836","123,591","125,488","125,981","126,02","124,898","125,216","125,729","125,581","124,335"
Corrected industry index,"101,094","103,058","104,34","104,302","104,569","104,59","103,866","102,398","102,817","103,122","103,688","103,119","101,723","104,406","105,148","105,465","105,708","105,545","104,414","102,505","102,666","102,827","103,093","102,478"
Variación anual,"3,716","1,009","3,155","1,777","2,163","2,42","2,69","2,814","2,765","3,011","3,297","3,171","1,914","1,634","-0,05","0,706","0,484","0,11","-0,107","-0,39","-0,519","-0,681","-0,966","-0,969"
Variación anual corregida,"3,067","2,288","3,05","2,064","2,005","2,093","2,471","2,639","2,844","2,911","3,199","3,132","0,622","1,308","0,774","1,115","1,09","0,913","0,527","0,105","-0,147","-0,286","-0,573","-0,622"
 ,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2017 - 31/12/2018,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Export date,02/12/2022 - 12:34:45,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Source,www.ree.es,,,,,,,,,,,,,,,,,,,,,,,
