Title,Red Eléctrica Index (IRE) - INDUSTRY - CUMULATIVE TOTAL - YEAR_01-01-2021_31-01-2022,,,,,,,,,,,,
Electricity system,Peninsular,,,,,,,,,,,,
Magnitude,% | Índice (2010=100),,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022
Industry index,"112,024","111,721","115,596","115,807","117,302","118,2","118,709","117,406","117,883","117,975","117,814","116,762","107,571"
Corrected industry index,"94,4","97,746","98,518","98,862","98,77","98,846","98,017","96,037","96,268","96,164","96,434","95,932","89,941"
Variación anual,"-2,947","-3,492","-0,459","5,669","7,393","8,154","7,667","7,216","6,652","5,626","4,877","4,54","-3,975"
Variación anual corregida,"-1,855","-1,015","0,837","7,085","8,751","9,371","9,059","8,488","7,778","6,606","5,824","5,442","-4,724"
 ,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Status,,,,,,,,,,,,,
 ,Definitivo: 01/01/2021 - 31/12/2021,,,,,,,,,,,,
 ,Provisional: 01/01/2022 - 31/01/2022,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Export date,02/12/2022 - 12:37:24,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Source,www.ree.es,,,,,,,,,,,,
